SUMLEV,REGION,DIVISION,STATE,COUNTY,FIPS,STNAME,CTYNAME_WHOLE,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
40,3,6,1,000,1000,Alabama,Alabama,Alabama,4779736,4780118,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4920706,4921532
50,3,6,1,001,1001,Alabama,Autauga County,Autauga ,54571,54582,54761,55229,54970,54747,54922,54903,55302,55448,55533,55769,56130,56145
50,3,6,1,003,1003,Alabama,Baldwin County,Baldwin ,182265,182263,183121,186579,190203,194978,199306,203101,207787,212737,218071,223565,227989,229287
50,3,6,1,005,1005,Alabama,Barbour County,Barbour ,27457,27454,27325,27344,27172,26946,26768,26300,25828,25169,24887,24657,24652,24589
50,3,6,1,007,1007,Alabama,Bibb County,Bibb ,22915,22904,22858,22736,22657,22510,22541,22553,22590,22532,22300,22313,22199,22136
50,3,6,1,009,1009,Alabama,Blount County,Blount ,57322,57322,57372,57561,57585,57630,57536,57535,57487,57801,57770,57840,57932,57879
50,3,6,1,011,1011,Alabama,Bullock County,Bullock ,10914,10913,10876,10680,10610,10557,10668,10404,10397,10181,10165,10144,10050,9976
50,3,6,1,013,1013,Alabama,Butler County,Butler ,20947,20940,20933,20867,20672,20359,20332,20168,20040,19911,19675,19501,19525,19504
50,3,6,1,015,1015,Alabama,Calhoun County,Calhoun ,118572,118533,118420,117767,117227,116528,115991,115550,115036,114746,114298,114070,113704,113469
50,3,6,1,017,1017,Alabama,Chambers County,Chambers ,34215,34154,34105,34016,34088,34125,33964,33991,33742,33716,33570,33244,32989,32865
50,3,6,1,019,1019,Alabama,Cherokee County,Cherokee ,25989,25984,25968,25993,25961,26022,25900,25739,25769,25822,26035,26254,26319,26294
50,3,6,1,021,1021,Alabama,Chilton County,Chilton ,43643,43625,43645,43682,43572,43617,43751,43693,43854,44085,44084,44313,44417,44397
50,3,6,1,023,1023,Alabama,Choctaw County,Choctaw ,13859,13858,13848,13608,13565,13401,13322,13237,13049,12923,12810,12577,12469,12418
50,3,6,1,025,1025,Alabama,Clarke County,Clarke ,25833,25834,25767,25589,25161,25131,24873,24711,24342,24083,23965,23651,23398,23291
50,3,6,1,027,1027,Alabama,Clay County,Clay ,13932,13930,13897,13687,13433,13406,13443,13415,13393,13355,13301,13265,13152,13112
