FIPS,POPESTIMATE2020,Case_Count,% Pop Cases,Total_Vaccines,% Vaccinated
1001,56145,9287,0.16541098940244012,19578,0.34870424792946836
1003,229287,32575,0.14207085443134587,97893,0.4269452694657787
1005,24589,2897,0.11781691000040669,9298,0.3781365651307495
1007,22136,3853,0.17406035417419588,6838,0.30890856523310445
1009,57879,9928,0.17153026140741892,15925,0.27514297068021215
1015,113469,17644,0.15549621482519455,46287,0.407926393993073
1017,32865,4934,0.15012931690247985,9185,0.2794766468887875
1019,26294,2497,0.09496463071423138,7383,0.2807864912147258
1021,44397,5744,0.12937811113363515,13765,0.31004347140572563
1025,23291,4181,0.1795113992529303,10742,0.4612081920054957
1031,53230,7616,0.14307721209844074,17923,0.3367086229569791
1033,55411,7669,0.13840212232228258,23741,0.428452834274783
1039,36930,5727,0.15507717303005686,12588,0.34086108854589764
1043,84515,12931,0.1530024256049222,28920,0.34218777731763594
1045,48959,7571,0.15463959639698524,22918,0.46810596621663025
1047,36098,4124,0.11424455648512383,14114,0.3909911906476813
1049,71658,10994,0.15342320466661086,21081,0.29418906472410616
1051,82158,12307,0.14979673312398062,30928,0.37644538572019764
1053,36281,5803,0.1599459772332626,11675,0.32179377635677076
1055,102371,17097,0.16701018843227086,37097,0.3623780172119057
1059,31507,5193,0.16482051607579268,12107,0.38426381439045293
1061,26411,4064,0.15387527923971073,8915,0.3375487486274658
1069,106580,14825,0.13909739163069995,39851,0.37390692437605555
1071,51582,8354,0.16195572098794153,21988,0.42627273079756506
1073,655342,102455,0.15633821729722802,332702,0.5076769076299092
1077,93368,12103,0.1296268528832148,38098,0.40804129894610575
1079,32857,3667,0.11160483306449158,13777,0.41930182305140457
1081,166831,20491,0.12282489465387128,56463,0.3384442939261888
1083,102228,12784,0.12505380130688265,32092,0.3139257346323903
1089,379453,41789,0.110129581265664,197474,0.5204175484183812
1093,29703,4074,0.13715786284213716,9573,0.3222906777093223
1095,96990,15786,0.16275904732446644,38443,0.39636044953087946
1097,412716,66209,0.1604226635264928,176826,0.4284447416625476
1099,20459,2850,0.13930299623637518,7998,0.3909281978591329
1101,224639,30168,0.1342954696201461,102407,0.45587364616117415
1103,119883,17449,0.14555024482203482,45937,0.383181935720661
1109,32966,4007,0.12154947521689013,12081,0.36646848267912396
1111,22920,2668,0.11640488656195462,6758,0.2948516579406632
1113,58237,5303,0.09105894877826812,19387,0.3328983292408606
1115,90739,13848,0.15261353993321505,31053,0.3422232997939144
1117,221428,32512,0.14682876600971873,69213,0.3125756453565042
1121,79985,10738,0.1342501719072326,25913,0.3239732449834344
1123,40133,5938,0.14795803951860065,13970,0.3480925921311639
1125,210758,30579,0.14509057781911006,80538,0.38213496047599615
1127,63143,9541,0.15110146809622602,26557,0.4205850213008568
1133,23508,3658,0.1556066020078271,4621,0.19657137995575974
2020,287095,40100,0.1396750204636096,160035,0.5574287256831363
2090,95651,10049,0.10505901663338596,45924,0.48012043784173714
2110,31849,2328,0.07309491663788502,21058,0.6611824547081541
2122,59414,7186,0.12094792473154475,24234,0.40788366378294677
2170,110213,14871,0.1349296362498072,35798,0.3248074183626251
4001,71875,14563,0.20261565217391303,52044,0.7240904347826087
4003,127450,13707,0.10754805806198509,67719,0.531337779521381
4005,142481,20579,0.14443329286010065,97394,0.6835578077076944
4007,54303,8627,0.15886783418963962,27881,0.5134338802644421
4009,39211,6673,0.17018183672948917,21030,0.5363290913264135
4013,4579081,670789,0.14648987427826676,2211062,0.4828615174092793
4015,217206,29859,0.1374685782160714,76393,0.35170759555445064
4017,112112,19224,0.17147138575710005,68214,0.6084451263022692
4019,1061175,131559,0.12397483921125167,616936,0.5813706504582185
4021,480828,66146,0.13756686382656583,211313,0.4394773182926119
4023,46808,8594,0.1836010938301145,41887,0.894868398564348
4025,240226,24888,0.10360244103469234,94551,0.39359186765795545
4027,217824,40162,0.18437821360364332,123253,0.5658375569266931
5005,42242,3436,0.08134084560390133,17928,0.4244117229297855
5007,288774,27985,0.09690969408603267,127260,0.44069064389453344
5009,37625,3988,0.10599335548172757,12338,0.3279202657807309
5015,28276,3189,0.112781157165087,11250,0.39786391285896167
5019,22103,2386,0.10794914717459168,9774,0.4422024159616342
5023,24935,2202,0.08830960497292961,9873,0.39594946861840785
5027,23331,1704,0.07303587501607303,9774,0.4189276070464189
5029,21037,2284,0.10857061368065789,10042,0.47734943195322527
5031,112245,15817,0.14091496280457927,42565,0.3792151098044456
5033,63409,7635,0.12040877477960542,25743,0.4059833777539466
5035,47616,7462,0.15671202956989247,17935,0.3766591061827957
5045,126919,13276,0.10460214782656654,54438,0.4289192319510869
5051,99789,12260,0.12285923298159115,40223,0.4030804998546934
5055,45597,6706,0.14707107923766916,17385,0.38127508388709785
5057,21253,1856,0.08732884769209052,6391,0.3007104879311156
5059,33787,5742,0.16994702104359666,13003,0.38485216207417056
5063,37757,3197,0.08467304076065366,13379,0.35434488968932915
5069,65377,7873,0.12042461416094345,24665,0.37727335301405696
5071,26513,3202,0.12077094255648173,11576,0.4366159996982612
5083,21410,2022,0.09444184960298926,8902,0.4157870154133582
5085,73921,7074,0.09569675734906184,31034,0.41982657161023257
5091,43177,3458,0.08008893623920142,5633,0.1304629779743845
5093,40066,6200,0.1547446712923676,14394,0.35925722557779666
5103,23167,2730,0.11784003107868951,11211,0.4839210946605085
5111,23283,3643,0.15646609113945797,9154,0.39316239316239315
5115,64334,8445,0.1312680697609351,28421,0.4417726241178848
5119,392980,47000,0.11959896177922541,197865,0.5034989057967326
