State,County Name,Urban Rural Code,FIPS,Total deaths,COVID-19 Deaths,Urban Rural Description,Pct_Deaths_by_Covid,Covid_Death_Pct_Above_Median
AK,Anchorage Municipality,3,2020,4133,366,Medium metro,8.855552867166706,0
AL,Autauga County,3,1001,956,122,Medium metro,12.761506276150628,1
AL,Baldwin County,4,1003,4386,473,Small metro,10.784313725490197,0
AL,Calhoun County,4,1015,3031,444,Small metro,14.64863081491257,1
AL,Coffee County,5,1031,1017,150,Micropolitan,14.749262536873156,1
AL,Colbert County,4,1033,1364,238,Small metro,17.44868035190616,1
AL,Covington County,6,1039,1066,179,Noncore,16.79174484052533,1
AL,Cullman County,5,1043,2143,304,Micropolitan,14.185720951936537,1
AL,Dale County,5,1045,850,105,Micropolitan,12.352941176470589,1
AL,Dallas County,5,1047,958,148,Micropolitan,15.44885177453027,1
AL,DeKalb County,6,1049,1383,157,Noncore,11.352133044107013,0
AL,Escambia County,6,1053,797,106,Noncore,13.29987452948557,1
AL,Etowah County,4,1055,3229,522,Small metro,16.16599566429235,1
AL,Houston County,4,1069,4037,815,Small metro,20.188258607877135,1
AL,Jackson County,5,1071,1233,116,Micropolitan,9.407948094079481,0
AL,Jefferson County,1,1073,20480,2834,Large central metro,13.837890624999998,1
AL,Lauderdale County,4,1077,2798,355,Small metro,12.687634024303074,1
AL,Lee County,4,1081,2489,405,Small metro,16.271595018079548,1
AL,Limestone County,3,1083,1586,152,Medium metro,9.583858764186633,0
AL,Madison County,3,1089,8307,927,Medium metro,11.159263271939327,0
AL,Marshall County,5,1095,2413,293,Micropolitan,12.142561127227518,1
AL,Mobile County,3,1097,10800,1486,Medium metro,13.75925925925926,1
AL,Montgomery County,3,1101,6387,1112,Medium metro,17.410364803507125,1
AL,Morgan County,4,1103,2669,316,Small metro,11.839640314724615,0
AL,St. Clair County,2,1115,1541,144,Large fringe metro,9.344581440622973,0
AL,Shelby County,2,1117,2672,236,Large fringe metro,8.832335329341317,0
AL,Talladega County,5,1121,1763,204,Micropolitan,11.571185479296652,0
AL,Tallapoosa County,6,1123,1066,140,Noncore,13.133208255159476,1
AL,Tuscaloosa County,4,1125,4693,794,Small metro,16.918815256765395,1
AL,Walker County,2,1127,1956,270,Large fringe metro,13.803680981595093,1
AR,Baxter County,5,5005,1804,264,Micropolitan,14.634146341463413,1
AR,Benton County,3,5007,3930,663,Medium metro,16.87022900763359,1
AR,Boone County,5,5009,859,108,Micropolitan,12.572759022118744,1
