FIPS,State,County Name,Urban Rural Code,Urban Rural Description,Population Estimate 2020,Total Vaccines,Percent Vaccinated,Case Count,Percent of Population Cases,COVID-19 Deaths,Median Age of County,Adult Obesity Percent,Adult Smoking Percentage,Excessive Drinking Percent,Percent Population Died from Covid,Percent Population Died by Covid above Median Rate
6113,CA,Yolo County,2.0,Large fringe metro,219728.0,132599.0,60.34688341950047,19001.0,8.64750964829243,203.0,31.3,0.244,0.1379468735,0.2020087821,0.0923869511395907,0.0
8041,CO,El Paso County,3.0,Medium metro,728310.0,390344.0,53.59585890623498,83725.0,11.495791627191709,1234.0,34.6,0.229,0.1527610079,0.1734367113,0.1694333456907086,0.0
17029,IL,Coles County,5.0,Micropolitan,50383.0,19345.0,38.395887501736695,7265.0,14.41954627552944,140.0,37.0,0.327,0.2192835914,0.2033917302,0.2778715042772363,1.0
13059,GA,Clarke County,4.0,Small metro,127795.0,29461.0,23.05332759497633,13717.0,10.7335967760867,550.0,28.8,0.25,0.1851366429,0.1636619549,0.4303767753041981,1.0
12086,FL,Miami-Dade County,1.0,Large central metro,2707303.0,2027846.0,74.90280917946754,491834.0,18.16693587677478,7994.0,40.4,0.224,0.1593695724,0.1861087191,0.2952754087739717,1.0
25003,MA,Berkshire County,4.0,Small metro,124571.0,62885.0,50.4812516556823,7994.0,6.4172239124675805,251.0,47.6,0.267,0.1863153553,0.2635805747,0.2014915188928402,0.0
37083,NC,Halifax County,5.0,Micropolitan,49479.0,23055.0,46.59552537440126,7008.0,14.16358455102164,117.0,43.8,0.423,0.2608348925,0.1454617505,0.236463954404899,0.0
17019,IL,Champaign County,4.0,Small metro,209192.0,112964.0,54.00015296952082,25596.0,12.23564954682779,394.0,30.6,0.304,0.1745001441,0.2063881067,0.1883437225132892,0.0
40143,OK,Tulsa County,3.0,Medium metro,657589.0,350514.0,53.302898923187584,96995.0,14.75009466399225,2840.0,36.0,0.306,0.1900323923,0.1503411543,0.4318807036005772,1.0
37157,NC,Rockingham County,3.0,Medium metro,91285.0,39965.0,43.78046776578846,10331.0,11.31730295229227,142.0,45.3,0.381,0.2317193443,0.1740366404,0.1555567727447006,0.0
37151,NC,Randolph County,3.0,Medium metro,144557.0,55242.0,38.21468348125653,19013.0,13.152597245377253,174.0,42.0,0.32,0.2262011151,0.1761351507,0.1203677442116258,0.0
1045,AL,Dale County,5.0,Micropolitan,48959.0,22918.0,46.81059662166302,7571.0,15.46395963969852,105.0,38.1,0.418,0.214932104,0.1551609758,0.2144651647296717,0.0
17119,IL,Madison County,2.0,Large fringe metro,262635.0,128974.0,49.10769699392693,37943.0,14.44704628096026,524.0,40.4,0.359,0.2055201934,0.2304208235,0.19951643916462,0.0
53073,WA,Whatcom County,4.0,Small metro,231016.0,147100.0,63.6752432731932,13691.0,5.92642933822765,164.0,37.6,0.28,0.1381918198,0.198401242,0.0709907538871766,0.0
13009,GA,Baldwin County,5.0,Micropolitan,45099.0,6273.0,13.90939932149271,4151.0,9.2041952149715,157.0,36.1,0.407,0.2264608528,0.1584984462,0.3481230182487417,1.0
12017,FL,Citrus County,4.0,Small metro,153010.0,77386.0,50.57577936082609,10571.0,6.90869877785765,665.0,57.1,0.287,0.2313017442,0.2139979458,0.4346121168551075,1.0
39093,OH,Lorain County,2.0,Large fringe metro,312172.0,173697.0,55.64144125674307,29940.0,9.5908665735556,585.0,41.9,0.359,0.206537268,0.1798046541,0.1873966915674692,0.0
29021,MO,Buchanan County,4.0,Small metro,86530.0,29578.0,34.18236449786201,1193.0,1.37871258523055,302.0,38.4,0.391,0.2328281389,0.1850042755,0.3490119033861089,1.0
31055,NE,Douglas County,3.0,Medium metro,574332.0,328910.0,57.26826992053377,54560.0,9.49973186240711,1194.0,35.1,0.313,0.175671681,0.2426496514,0.2078936921501849,0.0
17099,IL,La Salle County,5.0,Micropolitan,107571.0,50214.0,46.679867250467126,14433.0,13.41718492902362,219.0,42.1,0.32,0.2179967253,0.2075778639,0.2035864684719859,0.0
