Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
10/20/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,All Counties in the U.S.,0,60156,
10/20/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,Metropolitan,0,51066,
10/20/2021,12/29/2019,01/04/2020,2020,1,01/04/2020,United States,Nonmetropolitan,0,9090,
10/20/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,All Counties in the U.S.,,60723,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,Metropolitan,,51781,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/05/2020,01/11/2020,2020,2,01/11/2020,United States,Nonmetropolitan,0,8942,
10/20/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,All Counties in the U.S.,,59334,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,Metropolitan,,50575,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/12/2020,01/18/2020,2020,3,01/18/2020,United States,Nonmetropolitan,,8759,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,All Counties in the U.S.,,59145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,Metropolitan,,50324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/19/2020,01/25/2020,2020,4,01/25/2020,United States,Nonmetropolitan,0,8821,
10/20/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,All Counties in the U.S.,0,58806,
10/20/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,Metropolitan,0,50023,
10/20/2021,01/26/2020,02/01/2020,2020,5,02/01/2020,United States,Nonmetropolitan,0,8783,
10/20/2021,02/02/2020,02/08/2020,2020,6,02/08/2020,United States,All Counties in the U.S.,,59447,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,02/02/2020,02/08/2020,2020,6,02/08/2020,United States,Metropolitan,,50602,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
