,Date,FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Metro_status
0,10/22/2021,6113,Yolo County,CA,60.3,Metro
1,10/22/2021,13221,Oglethorpe County,GA,26.5,Metro
2,10/22/2021,26097,Mackinac County,MI,69.5,Non-metro
3,10/22/2021,29015,Benton County,MO,43.5,Non-metro
4,10/22/2021,16021,Boundary County,ID,29.2,Non-metro
5,10/22/2021,5137,Stone County,AR,33.2,Non-metro
6,10/22/2021,8041,El Paso County,CO,54.4,Metro
7,10/22/2021,16003,Adams County,ID,37.9,Non-metro
8,10/22/2021,5129,Searcy County,AR,35.4,Non-metro
9,10/22/2021,29223,Wayne County,MO,32.6,Non-metro
10,10/22/2021,26037,Clinton County,MI,52.1,Metro
11,10/22/2021,48249,Jim Wells County,TX,49.0,Non-metro
12,10/22/2021,21169,Metcalfe County,KY,35.6,Non-metro
13,10/22/2021,56001,Albany County,WY,47.5,Non-metro
14,10/22/2021,22015,Bossier Parish,LA,43.0,Metro
15,10/22/2021,36019,Clinton County,NY,65.5,Non-metro
16,10/22/2021,53047,Okanogan County,WA,61.7,Non-metro
17,10/22/2021,17029,Coles County,IL,38.3,Non-metro
18,10/22/2021,13059,Clarke County,GA,23.3,Metro
19,10/22/2021,21203,Rockcastle County,KY,33.9,Non-metro
20,10/22/2021,12086,Miami-Dade County,FL,75.0,Metro
21,10/22/2021,20047,Edwards County,KS,43.3,Non-metro
22,10/22/2021,25003,Berkshire County,MA,50.4,Metro
23,10/22/2021,13301,Warren County,GA,17.4,Non-metro
24,10/22/2021,37083,Halifax County,NC,46.3,Non-metro
25,10/22/2021,51570,Colonial Heights city,VA,36.0,Metro
26,10/22/2021,5105,Perry County,AR,47.2,Metro
27,10/22/2021,17019,Champaign County,IL,53.9,Metro
28,10/22/2021,48165,Gaines County,TX,19.4,Non-metro
29,10/22/2021,18073,Jasper County,IN,42.3,Metro
30,10/22/2021,40143,Tulsa County,OK,54.0,Metro
31,10/22/2021,38087,Slope County,ND,10.0,Non-metro
32,10/22/2021,27001,Aitkin County,MN,54.0,Non-metro
33,10/22/2021,37157,Rockingham County,NC,44.2,Metro
34,10/22/2021,55051,Iron County,WI,61.8,Non-metro
35,10/22/2021,37151,Randolph County,NC,38.6,Metro
36,10/22/2021,38083,Sheridan County,ND,33.6,Non-metro
37,10/22/2021,5055,Greene County,AR,38.5,Non-metro
38,10/22/2021,47081,Hickman County,TN,36.9,Metro
39,10/22/2021,48355,Nueces County,TX,50.6,Metro
40,10/22/2021,16077,Power County,ID,41.5,Non-metro
41,10/22/2021,1045,Dale County,AL,46.8,Non-metro
42,10/22/2021,1129,Washington County,AL,41.7,Non-metro
43,10/22/2021,8099,Prowers County,CO,37.0,Non-metro
44,10/22/2021,17119,Madison County,IL,49.1,Metro
45,10/22/2021,37143,Perquimans County,NC,42.3,Non-metro
46,10/22/2021,53073,Whatcom County,WA,64.3,Metro
47,10/22/2021,31163,Sherman County,NE,36.5,Non-metro
48,10/22/2021,20017,Chase County,KS,40.6,Non-metro
49,10/22/2021,23011,Kennebec County,ME,63.1,Non-metro
50,10/22/2021,13009,Baldwin County,GA,14.3,Non-metro
51,10/22/2021,31173,Thurston County,NE,56.7,Non-metro
53,10/22/2021,30019,Daniels County,MT,36.8,Non-metro
54,10/22/2021,17159,Richland County,IL,40.6,Non-metro
55,10/22/2021,51021,Bland County,VA,35.0,Non-metro
56,10/22/2021,46037,Day County,SD,56.7,Non-metro
57,10/22/2021,28043,Grenada County,MS,47.4,Non-metro
58,10/22/2021,48349,Navarro County,TX,40.1,Non-metro
59,10/22/2021,5097,Montgomery County,AR,33.5,Non-metro
60,10/22/2021,29229,Wright County,MO,32.9,Non-metro
61,10/22/2021,47021,Cheatham County,TN,44.4,Metro
62,10/22/2021,12017,Citrus County,FL,51.8,Metro
